,Price,Title,Hard Drive,Number of USB 3.0 Ports,Brand,Series,Processor Brand,Item model number,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,MANU_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,HDD_NEW,SSD_NEW,Hybrid_NEW,Flash_Storage_NEW
45,380.7864,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, Laptop Computers with 1080P FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card",512  SSD,2,ANMESC,AN-X19,Intel,Laptop,other,Other,Intel,15.6,1920.0,1080.0,2.27703184,0,other,16.0,Intel,Windows,Other,32,Laptop,Other,2.9,0,0,0,0
46,569.84,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",1 000 SSD,0,LENOVO,IdeaPad 1 15IJL7,Intel,IdeaPad 1 15IJL7,other,SSD,Intel,15.6,1920.0,1080.0,1.57850016,0,Grey,20.0,Intel,Windows,lenovo,1,Laptop,Other,2.8,0,0,0,0
47,1409.4088,"Dell Inspiron 16 5630 Laptop - Intel Core i7-1360P, 16-inch 16:10 FHD+ Display, 16GB LPDDR5 RAM, 1TB SSD, Intel Iris Xe Graphics, Windows 11 Pro, Services Included - Platinum Silver",1 000 SSD,2,Dell,Dell Inspiron 16 5630 Laptop,Intel,i5630-7862SLV-PUS,other,SSD,Intel,16.0,1920.0,1200.0,1.94137376,0,Platinum,1.0,Intel,Windows,dell,6,Laptop,Intel I7,5.0,0,0,0,0
48,1733.9320000000002,"Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16-inch, 16GB RAM, 512GB SSD) Space Gray (Renewed)",512  SSD,0,Apple,MK183LL/A,Other,MK183LL/A,other,SSD,Other,16.2,3456.0,2234.0,3.10256928,1,Gray,16.0,Apple,Mac,Other,6,Laptop,Other,3.1,0,0,0,0
49,547.4816000000001,"2019 Apple MacBook Air with 1.6GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) Space Gray (Renewed)",128  SSD,0,Apple,MacBook Air,Intel,MVFH2LL/A,other,SSD,Intel,13.3,2560.0,1600.0,1.59664384,1,Gray,8.0,Intel,Mac,Other,1,Laptop,Intel I5,1.6,0,0,0,0
50,1903.9864,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",SSD,2,ASUS,Strix G16,Intel,G614JV-AS74,ddr5,SSD,NVIDIA,16.0,1366.0,768.0,4.63117432,0,other,16.0,NVIDIA,Windows,asus,6,Gaming,Intel I7,4.9,0,0,0,0
51,679.9864000000001,"Lenovo Newest V15 Series Laptop, 24GB RAM, 1TB SSD Storage 15.6″ FHD Display with Low-Blue Light, Intel 4-Cores Upto 3.3Ghz Processor, HDMI, Ethernet Port, WiFi & Bluetooth, Windows 11 Home",1 000 SSD,2,Lenovo,V15,Intel,G2,other,SSD,Intel,15.0,1920.0,1080.0,1.70097,0,Blue,24.0,Intel,Windows,lenovo,6,Laptop,Other,4.0,0,0,0,0
52,642.2192000000001,"2019 Apple MacBook Pro with 1.4GHz Intel Core i5 (13 inch, 8GB RAM, 128GB SSD) - Space Gray (Renewed)",128  SSD,0,Apple,MacBook Pro,Other,MUHN2LL/A,other,SSD,Intel,13.3,1366.0,768.0,1.34263232,1,Gray,8.0,Intel,Mac,Other,1,Laptop,Intel I5,1.4,0,0,0,0
53,557.1104,"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",256  SSD,2,Dell,Inspiron,Intel,3511,other,SSD,Intel,15.6,1920.0,1080.0,1.6964340800000002,0,Black,12.0,Intel,Windows,dell,12,Laptop,Intel I5,1.0,0,0,0,0
54,71.7672,"Dell 11'' HD IPS Chromebook, Intel Celeron Processor Up to 2.40GHz, 4GB Ram, 16GB SSD, Super-Fast WiFi, Chrome OS, Dale Black (Renewed)",16  SSD,2,Dell,"Dell 11"" Chromebook",Intel,"DELL 11"" Chromebook",other,SSD,Intel,11.0,1366.0,768.0,1.87333496,1,Black,4.0,Intel,Other,dell,4,Chromebook,Other,2.4,0,0,0,0
